cs1_between_0_30,modifiedon,ModifiedBy,ModifiedByName,cs1_after_opening_course,cs1_over_30,statecode,statecode_value,createdon,CreatedBy,CreatedByName,statuscode,statuscode_value,cs1_fineId,cs1_name
10,2011-05-26 09:38:06,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,100,5,0,פעיל,2011-05-26 09:38:06,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,1,פעיל,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות
10,2011-05-26 09:38:28,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,100,3,0,פעיל,2011-05-26 09:38:28,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,1,פעיל,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי
