Price,CurrentCost,Name,ProductId,cs1_fine_per_product,cs1_fine_per_productName,ProductNumber,cs1_type,Createdon,ModifiedOn,OverriddenCreatedOn
NULL,NULL,מתמטיקה בסיסית,8C60AE11-14A5-E811-8A51-00505697537D,NULL,NULL,94,10,2018-08-21 07:30:25,2019-01-03 12:54:17,NULL
NULL,NULL,מתמטיקה בסיסית,8C60AE11-14A5-E811-8A51-00505697537D,NULL,NULL,94,10,2018-08-21 07:30:25,2019-01-03 12:54:17,NULL
NULL,NULL,סדנא,9BE7011B-14A5-E811-8A51-00505697537D,NULL,NULL,95,10,2018-08-21 07:30:43,2019-01-03 12:54:17,NULL
NULL,NULL,סדנא,9BE7011B-14A5-E811-8A51-00505697537D,NULL,NULL,95,10,2018-08-21 07:30:43,2019-01-03 12:54:17,NULL
NULL,NULL,היסטוריה 2 יח',BBE30984-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,57,10,2018-08-28 08:29:45,2019-01-03 12:56:27,NULL
NULL,NULL,היסטוריה 2 יח',BBE30984-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,57,10,2018-08-28 08:29:45,2019-01-03 12:56:27,NULL
NULL,NULL,היסטוריה 2 יח',BBE30984-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,57,10,2018-08-28 08:29:45,2019-01-03 12:56:27,NULL
NULL,NULL,היסטוריה 2 יח' - 70%,7BCEC1D6-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,58,10,2018-08-28 08:32:03,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 70%,7BCEC1D6-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,58,10,2018-08-28 08:32:03,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 70%,7BCEC1D6-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,58,10,2018-08-28 08:32:03,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 70%,7BCEC1D6-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,58,10,2018-08-28 08:32:03,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 30%,0892D6FD-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,59,10,2018-08-28 08:33:14,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 30%,0892D6FD-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,59,10,2018-08-28 08:33:14,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 30%,0892D6FD-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,59,10,2018-08-28 08:33:14,2019-01-03 12:56:28,NULL
NULL,NULL,היסטוריה 2 יח' - 30%,0892D6FD-9CAA-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,59,10,2018-08-28 08:33:14,2019-01-03 12:56:28,NULL
NULL,NULL,מכינה פיסיקה,A042C4C0-ABAE-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,89,10,2018-09-02 12:28:59,2019-01-03 12:56:28,NULL
NULL,NULL,מכינה פיסיקה,A042C4C0-ABAE-E811-8A51-00505697537D,49D69FDB-7B87-E011-942D-005056BD3748,בגרויות,89,10,2018-09-02 12:28:59,2019-01-03 12:56:28,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - basic,31DDB839-B7D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,49,10,2018-10-22 04:59:16,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor to go - basic,A8D930E8-B8D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,85,10,2018-10-22 05:11:19,2019-03-03 09:41:51,NULL
NULL,NULL,English mentor to go - basic,A8D930E8-B8D5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,85,10,2018-10-22 05:11:19,2019-03-03 09:41:51,NULL
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
NULL,NULL,English mentor total - basic,F84535AD-BAD5-E811-8A51-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,29,10,2018-10-22 05:23:59,2019-01-03 12:49:24,NULL
