"Contact_Name","Status","Course_Name","Amount","Paid","Debt","Reg_Date","Course_Name","Pay_Date","StudyAgreement","askTeacher","NumOfMiss","Start_date","End_Date","Deal_Name","Discount_Reason","Discount_Reason2","interest","hybrid"
DE7773AD-EF76-E411-9DC2-005056BD5C9D,861650000,"",0,0,1,,"7B67D356-2EBC-E411-AA57-005056BD5C9D",,False,"",0,,,E17773AD-EF76-E411-9DC2-005056BD5C9D,"","","",
"1AD02E8A-D368-ED11-9123-00505697537D",861650000,"932E9F9A-AD4F-ED11-9F15-00505697537D",8270,0,0,,FEC61769-2FE6-EC11-9866-00505697537D,"0000-00-00",False,"",0,"0000-00-00","0000-00-00","1ED02E8A-D368-ED11-9123-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,861650002
DD7C9D80-8548-E411-A909-005056BD5C9D,861650000,"",0,0,1,,"0EF407FB-84B0-E111-8DED-005056BD5C9D","0000-00-00",False,"",0,,,E07C9D80-8548-E411-A909-005056BD5C9D,"","","",
"605E9102-6C07-E911-AD77-00505697537D",861650000,"",0,248,1,,"54F1AEA6-73E2-EC11-BB62-00505697537D",,False,"",0,,,"9C69865C-3092-EC11-A8C8-00505697537D","","","",861650002
E3238245-7D8D-E811-8A51-00505697537D,861650000,"",0,0,1,"2024-12-00","79A6459D-61FE-E611-A6A0-0050569937A8",,False,"",0,,,E6238245-7D8D-E811-8A51-00505697537D,"","","",
"4AA96A55-C7F0-E311-8ABD-005056BD5C9D",861650000,"",0,0,1,,C10570A7-DE68-E411-BD7A-005056BD5C9D,,False,"",0,,,"169E108C-845C-E511-84F0-005056BD5C9D","","","",
"17C5D087-3992-E311-BBAE-005056BD5C9D",861650000,"",0,0,1,,"5E6EFF84-5562-E311-AA03-005056BD5C9D",,False,"",0,,,"053E408E-3992-E311-BBAE-005056BD5C9D","","","",
"97A2F675-1B38-EC11-94F7-00505697537D",861650000,"",0,248,1,,C4CB7070-6826-EC11-A8D9-00505697537D,,False,"",0,,,"9BA2F675-1B38-EC11-94F7-00505697537D","","","",
"37DB3428-01A5-E311-BBAE-005056BD5C9D",861650000,"",0,0,1,"2059-00-00","9366E5B3-FCA8-E311-BEF5-005056BD5C9D",,False,"",0,,,"39DB3428-01A5-E311-BBAE-005056BD5C9D","","","",
C3CA98FB-58D0-E811-8A51-00505697537D,861650000,"",3880,0,0,,"6729CB72-FBD5-E811-8A51-00505697537D",,False,"",0,,,"0207B7D9-868B-E911-BBFD-00505697537D",סופשנה אנגלית.מ בפגישה,"",b834d78e-e466-e711-a4e6-00505697537d,
"2E7F4EF6-5E30-E911-AD77-00505697537D",861650000,"",7970,0,0,,"10309103-699F-E611-9CA1-005056BD5C9D","0000-00-00",False,"",0,,,"6DC76709-5F30-E911-AD77-00505697537D","","","",
BA85483B-7D96-E411-AA57-005056BD5C9D,861650000,"",0,0,1,,ACF042DA-4E31-E211-A22E-005056BD5C9D,"0000-00-00",False,"",0,,,BC85483B-7D96-E411-AA57-005056BD5C9D,"","","",
F45D0C0E-8122-E711-80D6-0050569937A8,861650002,"756F78A9-330D-E711-A6A0-0050569937A8",7690,7690,1,,"37ADB6E4-A28D-E311-BBAE-005056BD5C9D","0000-00-00",False,"",0,"0000-00-00","0000-00-00","6950B519-8122-E711-80D6-0050569937A8","","","",
"4FBD5CC7-85AC-E511-BAC6-005056BD5C9D",861650000,"",0,0,1,"2046-05-00",B60F7515-8F8D-E311-BBAE-005056BD5C9D,"0000-00-00",False,"",0,,,"8C3F6FCD-85AC-E511-BAC6-005056BD5C9D","","","",
"31F37A16-D0EE-E611-A6A0-0050569937A8",861650000,"",0,50,1,,B9182CC5-5CFE-E611-A6A0-0050569937A8,,False,"",0,,,D9AE164A-18F8-E611-A6A0-0050569937A8,"","","",
