"Account_Name","Branch","Owner","Interest","Lead_Source","Hakalot","Amount","Amount_after_discount","ConvertedFromLead"
"3D4F1D27-7090-EB11-80F0-00505697537D",E537F0FE-B386-E011-942D-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,DC563B7E-0C8F-EB11-A4F8-00505697537D
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"",google,"0","75F8E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
"89FE1DA3-7090-EB11-80F0-00505697537D","8CEB78FB-A770-E011-A41E-005056BD3748","4122A2D3-BE1D-EB11-B993-00505697537D","861650001","",,9963,7970,"93C03DC7-7090-EB11-80F0-00505697537D"
"","",DCBCC312-AFFC-EA11-B993-00505697537D,"","",,,,""
"","","970",B7F1E6A8-C870-E011-A41E-005056BD3748,"",,,970,"0"
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"","","","","",,,,""
"",google,"4269","53F4E6A8-C870-E011-A41E-005056BD3748","",,,4269,"0"
"3850BD66-7390-EB11-80F0-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","26AF1387-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,"2EF65173-7390-EB11-80F0-00505697537D"
E45A2F89-D491-E411-AA57-005056BD5C9D,"2EFCF004-A870-E011-A41E-005056BD3748",B506753D-71B0-EA11-81AC-00505697537D,"861650001","",,9963,7970,"97EA5C3F-7490-EB11-80F0-00505697537D"
"","","3ABD2507-B108-EB11-B993-00505697537D","","",,,,""
"","","0",D7F1E6A8-C870-E011-A41E-005056BD3748,"",,,0,"0"
"8EE16433-7390-EB11-80F0-00505697537D","8CEB78FB-A770-E011-A41E-005056BD3748","89F1B774-D556-EA11-AC48-00505697537D","861650000","",861650001,9608,7760,"28CDAFD0-7490-EB11-80F0-00505697537D"
"","","25700E6A-0280-EB11-A4F8-00505697537D","","",,,,""
"","","","","",,,,""
"","","0",F3F5E6A8-C870-E011-A41E-005056BD3748,"",,,0,"0"
E3473CE0-7590-EB11-80F0-00505697537D,"541286E3-B386-E011-942D-005056BD3748",D1CF0AB7-71B0-EA11-81AC-00505697537D,"861650001","",,9963,7970,"1194FEF3-7590-EB11-80F0-00505697537D"
D59743FF-7590-EB11-80F0-00505697537D,E537F0FE-B386-E011-942D-005056BD3748,B506753D-71B0-EA11-81AC-00505697537D,"861650001","",,9963,7970,D2E78106-7690-EB11-80F0-00505697537D
"76D6F52D-7690-EB11-80F0-00505697537D",E537F0FE-B386-E011-942D-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,F8A465AE-6290-EB11-80F0-00505697537D
"","","754B3442-BF9D-EA11-AC48-00505697537D","","",,,,""
"","","970","0BF4E6A8-C870-E011-A41E-005056BD3748","",,,970,"0"
"91B9AAD1-7690-EB11-80F0-00505697537D","8CEB78FB-A770-E011-A41E-005056BD3748","44CF899A-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,AF499DDF-7690-EB11-80F0-00505697537D
FEBE8554-7790-EB11-80F0-00505697537D,C746C8EA-B386-E011-942D-005056BD3748,"4122A2D3-BE1D-EB11-B993-00505697537D","861650001","",,9963,7970,C80B3E1A-7890-EB11-80F0-00505697537D
"7567505B-7990-EB11-80F0-00505697537D",CE4AA9DF-B8E1-E011-8DD2-005056BD3748,"89F1B774-D556-EA11-AC48-00505697537D","861650000","",861650001,9113,7290,"41D87B81-7990-EB11-80F0-00505697537D"
FA4BF2DD-7990-EB11-80F0-00505697537D,"2A728C40-B473-E811-B9FF-00505697537D","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,E69C223D-7690-EB11-80F0-00505697537D
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"","","","","",,,,""
"",google,"9963",FDF1E6A8-C870-E011-A41E-005056BD3748,"",,,9963,"0"
"","","07CA9918-B7FC-EA11-B993-00505697537D","","",,,,""
