"Contact_Name","Status","Class_Name","Amount","Paid","Course_Name","StudyAgreement","askTeacher","NumOfMiss","Deal_Name","Discount_Reason","Discount_Reason2","interest","hybrid"
"7DBB4C15-0AA0-EA11-AC48-00505697537D",861650002,"6DC09499-5B09-EB11-B993-00505697537D",0,0,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","5EA610C1-ED69-EB11-B424-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
F4DBDFF7-6390-EB11-80F0-00505697537D,,"4990CC30-3A4F-EB11-974B-00505697537D",7970,,"88FFCB58-61F9-E811-AD77-00505697537D",False,"","",F8DBDFF7-6390-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
EB989730-58F2-E811-8A51-00505697537D,,"",5151,,DFF0DD68-DCD6-EA11-81AC-00505697537D,False,"","",EAF27FAB-6490-EB11-80F0-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
EB989730-58F2-E811-8A51-00505697537D,,"",5151,,"8C955252-DCD6-EA11-81AC-00505697537D",False,"","",EAF27FAB-6490-EB11-80F0-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
DEF27FAB-6490-EB11-80F0-00505697537D,,"02F02099-5309-EB11-B993-00505697537D",7970,,EB5F9843-60F9-E811-AD77-00505697537D,False,"","","3D2931B8-6490-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"17006719-6390-EB11-80F0-00505697537D",861650002,"052E9A68-3C4F-EB11-974B-00505697537D",7970,7970,"889DB952-61F9-E811-AD77-00505697537D",False,"","","1A006719-6390-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
E90DE96B-6590-EB11-80F0-00505697537D,,"2B16C36B-5309-EB11-B993-00505697537D",7970,,A8F942A9-5FF9-E811-AD77-00505697537D,False,"","",EE0DE96B-6590-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
BEB352F5-C2AB-EA11-A8DD-00505697537D,861650000,"440E967D-0EFC-EA11-B993-00505697537D",0,0,"43A5CE32-B19D-EA11-AC48-00505697537D",False,"","","395A91EE-808D-EB11-A4F8-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
BEB352F5-C2AB-EA11-A8DD-00505697537D,861650000,FFCB78CF-FDFB-EA11-B993-00505697537D,0,311,CF031C49-47BF-EA11-81AC-00505697537D,False,"","","395A91EE-808D-EB11-A4F8-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
"3D7749DC-68CE-E511-8C72-005056BD5C9D",861650002,"8FEF755C-C1FC-E511-B7B1-005056BD5C9D",7690,0,A02C6CB4-A18D-E311-BBAE-005056BD5C9D,False,"","",A37DF306-69CE-E511-8C72-005056BD5C9D,"","","",
"4443B2B1-6690-EB11-80F0-00505697537D",,FF952434-5009-EB11-B993-00505697537D,7970,,C97E3976-60F9-E811-AD77-00505697537D,False,"","","2E0F0CB8-6690-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"46EE844C-5FFE-EA11-B993-00505697537D",861650002,"2851DD35-11FC-EA11-B993-00505697537D",370,370,E3625C18-11FC-EA11-B993-00505697537D,False,"","","13713A1A-6790-EB11-80F0-00505697537D","","","",
"91DC99A2-DD99-EA11-AC48-00505697537D",861650002,EFBF3287-5B09-EB11-B993-00505697537D,0,0,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","6DE0E7D5-AE2C-EB11-B993-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"36D39FDA-C17E-E811-B9FF-00505697537D",861650002,DC5B1DF3-8676-EB11-A4F8-00505697537D,7970,7970,"497CD67B-5EF9-E811-AD77-00505697537D",False,"","","20D6C9E3-6790-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"54416925-7F70-E711-986E-00505697537D",861650002,"90C081E5-4F09-EB11-B993-00505697537D",0,0,"65E721DF-B587-EA11-AC48-00505697537D",False,"","","3BEF74FE-BD16-EB11-B993-00505697537D",אחר,קורס חוזר קורונה,dda7219a-a686-e011-942d-005056bd3748,
"328D696F-6890-EB11-80F0-00505697537D",,"86470151-3D4F-EB11-974B-00505697537D",7970,,"6B834B0B-6B17-EB11-B993-00505697537D",False,"","","368D696F-6890-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"9FC47050-4348-EB11-974B-00505697537D",861650002,"440E967D-0EFC-EA11-B993-00505697537D",370,370,"43A5CE32-B19D-EA11-AC48-00505697537D",False,"","",D848FCF9-6890-EB11-80F0-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
"9FC47050-4348-EB11-974B-00505697537D",861650002,"4CDA48C2-F7FB-EA11-B993-00505697537D",6561,6560,A3774BC2-0A95-EA11-AC48-00505697537D,False,"","",D848FCF9-6890-EB11-80F0-00505697537D,"","","35a1b88f-a686-e011-942d-005056bd3748",
FEF3345E-6B90-EB11-80F0-00505697537D,861650002,EFBF3287-5B09-EB11-B993-00505697537D,7970,7970,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","02F4345E-6B90-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
FACC19CD-6C90-EB11-80F0-00505697537D,861650000,"052E9A68-3C4F-EB11-974B-00505697537D",0,,"889DB952-61F9-E811-AD77-00505697537D",False,"","",FECC19CD-6C90-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
"4023FEBD-F3C7-E911-BC50-00505697537D",,"440E967D-0EFC-EA11-B993-00505697537D",370,,"43A5CE32-B19D-EA11-AC48-00505697537D",False,"","","5C242971-6D90-EB11-80F0-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
"4023FEBD-F3C7-E911-BC50-00505697537D",,FFCB78CF-FDFB-EA11-B993-00505697537D,9113,,CF031C49-47BF-EA11-81AC-00505697537D,False,"","","5C242971-6D90-EB11-80F0-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
A4729AD5-6E90-EB11-80F0-00505697537D,,"",7970,,"084C9489-5DF9-E811-AD77-00505697537D",False,"","",BE090FF7-6E90-EB11-80F0-00505697537D,"","","",
ECD8DAEA-FC14-EA11-9AB9-00505697537D,861650002,"75113AE3-4E09-EB11-B993-00505697537D",7970,7970,"65E721DF-B587-EA11-AC48-00505697537D",False,"","",B09315C6-7565-EB11-B424-00505697537D,"","","",
"3D4F1D27-7090-EB11-80F0-00505697537D",861650002,"5E8902D9-3C4F-EB11-974B-00505697537D",7970,7970,CAAEAAC4-61F9-E811-AD77-00505697537D,False,"","","414F1D27-7090-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
